first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,owns_car
Julietta,Setchfield,Female,73,31-01-1992,Operator,,High Net Worth,Yes
Roch,Symson,Female,96,13-05-1978,Office Assistant I,Manufacturing,High Net Worth,No
Audry,Fann,Female,3,17-10-1957,Pharmacist,Health,Mass Customer,Yes
Cecelia,Cisar,Female,20,26-03-1985,,Property,Mass Customer,Yes
Clari,Voas,Female,74,28-07-1955,Human Resources Assistant II,Health,Affluent Customer,Yes
Zach,Hedman,Male,87,11-09-1981,Analyst Programmer,Financial Services,Affluent Customer,Yes
Paxon,Roomes,Male,78,06-11-1976,Information Systems Manager,,High Net Worth,Yes
Parnell,Lamprey,Male,23,08-04-1977,Engineer III,Financial Services,High Net Worth,No
Honey,Gosdin,Female,0,29-11-1981,Software Engineer I,Property,Mass Customer,No
Sonny,McCart,Male,35,27-08-1992,Account Representative I,Manufacturing,High Net Worth,No
Rozamond,Turtle,U,69,,Legal Assistant,IT,Mass Customer,Yes
Deirdre,Burgoine,Female,14,08-01-1955,Programmer III,Health,High Net Worth,No
Haleigh,,Female,17,19-05-1952,Senior Sales Associate,Financial Services,Mass Customer,Yes
Aldridge,Poskitt,Male,84,10-02-1982,VP Sales,,Mass Customer,No
Zechariah,McReidy,Male,32,22-07-1978,Technical Writer,Manufacturing,High Net Worth,No
Carry,Costi,Female,32,26-11-1972,Senior Developer,Property,Mass Customer,No
Alon,,Male,17,23-06-1999,Accountant IV,,Affluent Customer,No
Ahmed,Pickthorne,Male,46,25-12-1959,Marketing Manager,,High Net Worth,Yes
Nil,Shirer,Male,64,27-09-1997,Librarian,Entertainment,Mass Customer,Yes
Erhard,O'Moylane,Male,33,27-05-1978,Media Manager I,Retail,Affluent Customer,Yes
Vitia,Axtens,Female,62,08-08-1945,Financial Advisor,Financial Services,Mass Customer,Yes
Haskell,Moxted,Male,81,27-08-1943,Civil Engineer,Manufacturing,Mass Customer,No
Ebony,Conrad,Female,8,24-10-1999,Environmental Tech,Financial Services,Mass Customer,Yes
Lincoln,Boler,Male,53,24-01-1976,Chief Design Engineer,,Affluent Customer,No
Vladimir,Westmerland,Male,18,19-06-1956,,Manufacturing,Mass Customer,Yes
Kylynn,Drowsfield,Female,80,28-03-1975,Editor,,High Net Worth,Yes
Nicole,Ruckhard,Female,93,09-10-1969,Human Resources Manager,Health,Affluent Customer,Yes
Celestina,Lethardy,Female,38,11-12-1968,Software Consultant,IT,Mass Customer,Yes
Tannie,Petrakov,Male,84,27-11-1951,Data Coordiator,IT,Affluent Customer,No
Bessy,Saladin,Female,22,22-12-1939,VP Marketing,Manufacturing,Mass Customer,Yes
Diego,Van den Broek,Male,17,28-09-1964,Business Systems Development Analyst,Manufacturing,Affluent Customer,Yes
Lucilia,Minshall,Female,71,15-04-1952,,IT,Mass Customer,Yes
Cissiee,Pollington,Female,43,21-07-1941,Associate Professor,Property,Mass Customer,Yes
Eddy,Sturch,Male,22,11-02-1961,Software Consultant,Financial Services,High Net Worth,Yes
Caron,Kezar,Female,11,08-08-1953,Social Worker,Health,Mass Customer,No
Sandor,Stirland,Male,67,26-05-1981,Web Developer IV,Manufacturing,High Net Worth,No
Gallagher,Bromell,Male,18,02-12-1956,Assistant Manager,,Mass Customer,No
Murial,Bulloch,Female,59,01-10-1964,,Financial Services,Mass Customer,No
Delinda,Ech,Female,74,21-10-1944,Environmental Specialist,Argiculture,Mass Customer,Yes
Hussein,Tapenden,Male,19,19-10-1953,Pharmacist,Health,Affluent Customer,Yes
Giulietta,Garbott,Female,59,27-02-2002,Technical Writer,,Affluent Customer,Yes
Kaylyn,Jakaway,Female,45,30-07-1980,Registered Nurse,Health,Affluent Customer,No
Brynn,Goodyear,Female,30,10-11-1944,Human Resources Manager,Health,Mass Customer,Yes
Otis,,Male,59,11-01-1971,Electrical Engineer,Manufacturing,Affluent Customer,No
Tamas,Swatman,U,65,,Assistant Media Planner,Entertainment,Affluent Customer,No
Pace,Clemonts,Male,99,28-07-1990,Media Manager IV,Retail,High Net Worth,No
Tracy,Andrejevic,U,71,,Programmer II,IT,Mass Customer,Yes
Muffin,Grigolon,Male,7,31-10-1979,Senior Editor,Telecommunications,Mass Customer,No
Allsun,Biner,Female,67,26-12-1997,Nurse Practicioner,Financial Services,Mass Customer,Yes
Kenneth,Elleyne,Male,13,03-09-1957,Technical Writer,Financial Services,Mass Customer,No
Clotilda,Southers,Female,62,08-11-1999,Computer Systems Analyst II,Financial Services,Mass Customer,Yes
Augustus,Bourley,Male,60,17-08-1981,,Health,Affluent Customer,No
Daisi,Tinwell,Female,84,24-12-1971,Business Systems Development Analyst,Financial Services,Mass Customer,No
Gerik,Woodroof,Male,18,13-06-1959,Paralegal,Financial Services,High Net Worth,Yes
Claresta,MacConnulty,Female,6,01-10-1957,Recruiting Manager,,Mass Customer,Yes
Arty,Fontelles,Male,50,21-10-1994,Help Desk Technician,IT,High Net Worth,No
Giulia,Hazart,Female,57,02-08-1978,Help Desk Technician,,Mass Customer,No
Whit,Emloch,Male,30,20-08-1963,Food Chemist,Health,Mass Customer,Yes
Rowan,Summerly,Male,4,05-07-1974,Librarian,Entertainment,Mass Customer,No
Ian,Rabat,Male,54,04-08-1975,Web Designer I,Financial Services,Affluent Customer,No
Agneta,McAmish,U,66,,Structural Analysis Engineer,IT,Mass Customer,No
Reginald,Jermy,Male,7,12-09-1960,Director of Sales,,High Net Worth,Yes
Link,Gorini,Male,60,09-11-1974,,IT,High Net Worth,No
Harriet,Brattan,Female,81,03-12-1986,Human Resources Assistant I,Financial Services,High Net Worth,No
Sada,Branton,Female,34,24-06-1974,Nuclear Power Engineer,Manufacturing,Affluent Customer,No
Jenelle,Mc-Kerley,Female,40,23-01-1942,Data Coordiator,Financial Services,Mass Customer,Yes
Gabrila,Toopin,Female,7,14-01-1963,Junior Executive,Manufacturing,Mass Customer,No
Almira,Mangion,Female,4,24-01-1996,VP Product Management,Financial Services,Affluent Customer,Yes
Arty,Strudwick,Male,85,31-01-1964,Data Coordiator,Health,Mass Customer,Yes
Alexa,Dillet,Female,65,05-10-1944,Product Engineer,Entertainment,Affluent Customer,No
Palmer,Heaven,Male,82,18-05-1995,Staff Scientist,Financial Services,Affluent Customer,Yes
Porter,Buckenhill,Male,46,14-06-1954,Help Desk Operator,Manufacturing,High Net Worth,Yes
Kizzee,Kemston,Female,11,29-09-1961,,Health,Mass Customer,No
Isadora,Ducker,Female,15,25-08-1973,Account Executive,,Affluent Customer,Yes
Giffie,Offill,Male,51,02-03-1993,Structural Engineer,Telecommunications,Affluent Customer,No
Fara,Sarath,Female,75,30-06-1948,Quality Control Specialist,,Mass Customer,No
Carolann,Raatz,Female,25,26-02-1979,Chief Design Engineer,,High Net Worth,No
Tamar,Windmill,Female,92,28-08-1939,Senior Editor,Manufacturing,Affluent Customer,No
Kipp,Stockport,Male,36,10-12-1982,Data Coordiator,Retail,Mass Customer,Yes
Packston,Wackett,Male,10,26-04-1950,Quality Engineer,Financial Services,Mass Customer,No
Hanson,Eastes,Male,74,20-05-1990,,Manufacturing,Mass Customer,Yes
Demetria,Bausor,Female,73,22-12-1961,Assistant Media Planner,Entertainment,Mass Customer,Yes
Lura,Fawdrie,Female,66,17-01-2002,VP Sales,Health,Mass Customer,Yes
Nora,Anselm,Female,84,05-01-1961,,Entertainment,High Net Worth,Yes
Estevan,Eastment,Male,54,09-08-1942,Environmental Specialist,Health,Mass Customer,Yes
Aloysius,Glowacz,Male,72,24-03-1979,Financial Advisor,Financial Services,Affluent Customer,No
Bastien,Ibbeson,Male,53,04-11-1976,Software Consultant,IT,Mass Customer,No
Otha,Langworthy,Female,91,20-01-1967,Senior Financial Analyst,Financial Services,Mass Customer,Yes
Gannie,Bargh,Male,56,13-02-1955,Analyst Programmer,,Mass Customer,Yes
Dwayne,Doel,Male,80,21-01-1978,Cost Accountant,Financial Services,Affluent Customer,Yes
Leese,Huckleby,Female,67,10-09-1977,Help Desk Operator,Manufacturing,High Net Worth,Yes
Dodi,Kiggel,Female,5,15-08-1980,,Financial Services,Mass Customer,Yes
Kippar,Brimilcome,Male,21,29-11-1938,Graphic Designer,Health,Mass Customer,No
Corinna,Beretta,Female,24,29-02-1996,Programmer III,Health,High Net Worth,No
Laurie,Odlin,Female,75,08-03-1983,Social Worker,Health,High Net Worth,No
Mair,Erett,Female,15,05-12-1957,Speech Pathologist,,Affluent Customer,No
Marcelia,Copins,Female,81,15-03-1946,,,Mass Customer,Yes
Tanner,Terlinden,Male,84,09-12-1995,Nuclear Power Engineer,Manufacturing,Mass Customer,No
Hilliard,Dullard,Male,65,18-07-1954,Civil Engineer,Manufacturing,Mass Customer,No
Justinn,Haruard,Female,48,28-08-1958,Health Coach IV,Health,High Net Worth,No
Wyn,Meach,Male,37,10-09-1938,,Manufacturing,Mass Customer,No
Art,Shardlow,Male,57,15-10-1963,Data Coordiator,Argiculture,Mass Customer,Yes
Dennis,Varnham,Male,57,17-05-1953,Assistant Media Planner,Entertainment,Affluent Customer,No
Freddi,Litherborough,Female,46,14-01-1989,Product Engineer,Financial Services,Mass Customer,No
Salomon,Perkins,Male,76,12-01-1998,Engineer IV,Financial Services,Affluent Customer,Yes
Sherill,,Female,33,18-12-1991,Information Systems Manager,Financial Services,Mass Customer,No
Queenie,Learie,Female,90,24-01-1948,,Property,Mass Customer,No
Etan,Prinett,Male,97,21-01-1970,Operator,Argiculture,Mass Customer,Yes
Donaugh,Benedict,Male,3,01-12-1991,Systems Administrator III,Property,Mass Customer,No
Harwell,Kleinstein,Male,87,18-10-1993,Sales Representative,Retail,Affluent Customer,No
Cheston,Hritzko,Male,70,08-11-1945,Software Engineer III,Manufacturing,Mass Customer,Yes
Suzy,Trounson,Female,13,19-07-1947,Senior Financial Analyst,Financial Services,Mass Customer,Yes
Jobie,Runacres,Female,96,08-01-1975,Developer IV,,Mass Customer,Yes
Guenna,Filisov,Female,52,09-02-1969,Chemical Engineer,Manufacturing,High Net Worth,No
Opal,Cleare,Female,6,26-09-1977,Database Administrator II,Property,Affluent Customer,Yes
Ottilie,Wanless,Female,51,10-11-1940,Environmental Specialist,,Affluent Customer,No
Kipper,Circuit,Male,23,12-12-1974,Research Assistant IV,Argiculture,Mass Customer,Yes
Marilin,Frome,Female,58,22-12-1975,Account Executive,IT,Mass Customer,Yes
Arel,Abramovitz,Male,72,12-11-1957,Nurse Practicioner,Health,Mass Customer,No
Kit,Easdon,Male,61,26-10-1978,Director of Sales,Property,Affluent Customer,No
Gregg,Aimeric,U,52,,Internal Auditor,IT,Mass Customer,No
Skipp,Swales,Male,15,14-11-1973,Community Outreach Specialist,Entertainment,High Net Worth,Yes
Frederich,Glantz,Male,37,27-08-1997,Nuclear Power Engineer,Manufacturing,High Net Worth,Yes
Rodolph,Denniss,Male,28,07-08-1974,Geologist III,Property,Affluent Customer,Yes
Craggie,Dering,Male,47,05-10-1952,Actuary,Financial Services,Mass Customer,No
Johna,Bunker,U,93,,Tax Accountant,IT,Mass Customer,Yes
Giralda,MacPeake,Female,59,04-04-1941,Librarian,Entertainment,High Net Worth,Yes
Rodney,Trethewey,Male,16,17-03-1997,Software Consultant,Financial Services,Affluent Customer,No
Theresina,,Female,30,01-03-1987,General Manager,Argiculture,Mass Customer,Yes
Gleda,Howerd,Female,59,22-01-1964,Senior Developer,IT,Mass Customer,No
Melany,Ladewig,Female,76,17-05-1972,Research Associate,Financial Services,Mass Customer,Yes
Claudell,Rounsefell,Male,67,27-11-1993,VP Sales,Financial Services,Affluent Customer,No
Garwin,Nurden,Male,54,19-04-1958,Programmer I,Property,High Net Worth,Yes
Bunny,Leebetter,Female,83,30-04-1966,Quality Engineer,Manufacturing,High Net Worth,Yes
Matias,Melloi,Male,61,03-02-1977,Legal Assistant,Retail,Affluent Customer,No
Sada,Dowyer,Female,47,22-11-1998,Human Resources Manager,,High Net Worth,Yes
Anet,Roseman,Female,84,24-11-1996,Programmer Analyst III,Financial Services,Mass Customer,No
Katie,Warhurst,Female,0,02-12-1991,Help Desk Operator,Retail,High Net Worth,Yes
Celia,Bryden,Female,12,06-04-1943,Chemical Engineer,Manufacturing,High Net Worth,No
Stearne,Trolley,Male,42,01-02-1982,Automation Specialist IV,Financial Services,High Net Worth,No
Tristam,Larose,Male,70,29-01-1985,VP Accounting,Financial Services,Mass Customer,No
Laurena,,Female,21,31-07-1961,VP Sales,,High Net Worth,No
Heloise,Fairpool,Female,17,07-09-1976,Information Systems Manager,Manufacturing,High Net Worth,No
Dory,Malpass,Female,19,27-08-1972,,,Affluent Customer,Yes
Marcellina,Baynton,Female,60,11-03-1947,Software Engineer III,Financial Services,Mass Customer,No
Gregorius,Leal,Male,7,29-04-1951,,Retail,Affluent Customer,Yes
Deana,Canton,Female,67,25-11-1974,,Property,Mass Customer,Yes
Kori,Sparsholt,Female,59,19-05-1940,Office Assistant II,,Mass Customer,Yes
Lucky,Klainman,Female,24,26-11-1947,Chief Design Engineer,Retail,Mass Customer,No
Erasmus,Olenchenko,Male,56,03-02-1965,Software Test Engineer IV,Property,Mass Customer,Yes
Carita,Sand,Female,25,20-03-1977,Quality Engineer,Retail,Mass Customer,No
Lynnett,Tipper,Female,22,03-08-1993,Social Worker,Health,High Net Worth,Yes
Thorn,Stigers,Male,42,19-05-1972,Business Systems Development Analyst,Financial Services,Mass Customer,No
Lela,Billing,Female,38,17-12-1970,Programmer Analyst III,,Mass Customer,Yes
Norah,Mapis,Female,75,09-12-2000,Assistant Manager,Argiculture,Mass Customer,No
Moina,Rosenbaum,Female,50,04-08-2001,Graphic Designer,IT,Mass Customer,No
Ceciley,Harg,Female,50,19-10-1990,Nurse Practicioner,Retail,Mass Customer,Yes
Torry,de la Valette Parisot,Male,95,14-03-1967,VP Marketing,Telecommunications,Mass Customer,Yes
Sigismund,Sedger,Male,9,29-11-1999,Accountant II,Manufacturing,Affluent Customer,No
Irvine,Headon,Male,99,21-04-1956,Geologist III,IT,Affluent Customer,Yes
Laurie,,Male,31,28-07-1979,Assistant Media Planner,Entertainment,Mass Customer,Yes
Tomkin,Bernlin,Male,7,29-12-2001,Food Chemist,Health,Affluent Customer,Yes
Genni,Fanstone,Female,25,29-07-1972,Administrative Assistant II,Entertainment,Mass Customer,No
Blondie,,Female,43,03-10-1995,Actuary,Financial Services,High Net Worth,No
Aloysius,Killingsworth,Male,89,14-02-1957,VP Quality Control,,Mass Customer,No
Carola,Philler,Female,73,30-04-1951,Dental Hygienist,Health,High Net Worth,No
Fitzgerald,Hellikes,Male,25,28-07-1979,Media Manager IV,Health,Mass Customer,Yes
Ingmar,Okenden,Male,97,01-03-1959,Compensation Analyst,Financial Services,Mass Customer,Yes
Tina,Dunstan,Female,13,06-03-1939,Account Representative IV,Retail,Affluent Customer,No
Huberto,Mollatt,Male,82,27-08-1961,Programmer IV,,Mass Customer,Yes
Georgi,,Male,29,14-01-1970,Assistant Manager,Manufacturing,High Net Worth,No
Adolpho,Bellerby,Male,46,25-10-1944,VP Sales,Financial Services,High Net Worth,Yes
Kelsey,Hatt,Female,69,27-06-1966,Senior Sales Associate,Financial Services,High Net Worth,No
Lucien,,Male,83,14-09-1966,,Financial Services,High Net Worth,Yes
Ariel,McCloid,Male,4,13-03-1994,Human Resources Manager,,High Net Worth,Yes
Bevvy,Openshaw,Female,68,15-06-1975,Staff Scientist,,Affluent Customer,Yes
Alexina,Mabley,Female,72,12-10-1975,Web Designer IV,Manufacturing,Mass Customer,Yes
Dawn,Pyffe,Female,56,28-05-1965,Media Manager III,Retail,Mass Customer,No
Claudette,Renackowna,Female,55,11-02-1996,Administrative Officer,Manufacturing,Mass Customer,No
Elianora,Poolton,Female,15,14-06-1944,Programmer II,,Mass Customer,Yes
Park,,Male,39,08-11-1977,Nurse Practicioner,IT,Affluent Customer,No
Anthony,Lindstrom,Male,86,01-11-1997,Geologist IV,Financial Services,Affluent Customer,Yes
Liane,Poizer,Female,59,05-05-1952,Analyst Programmer,Property,High Net Worth,No
Romonda,Hallt,Female,69,09-05-1960,Operator,,Affluent Customer,No
Sula,Thomann,Female,56,17-03-1989,Assistant Manager,,Mass Customer,No
Renell,Earley,Female,5,21-10-1954,Compensation Analyst,Financial Services,Mass Customer,Yes
Cliff,Philipsson,Male,82,02-02-1967,Structural Analysis Engineer,Argiculture,Mass Customer,No
Clevey,Aisthorpe,Male,27,20-09-1976,Software Consultant,,Mass Customer,Yes
Cariotta,,Female,10,19-08-1974,Assistant Media Planner,Entertainment,Affluent Customer,Yes
George,Jose,Male,68,19-12-1960,Payment Adjustment Coordinator,Retail,High Net Worth,Yes
Kissiah,Foat,Female,30,11-09-1975,Graphic Designer,,Mass Customer,Yes
Milty,Brauninger,Male,13,10-07-1945,Payment Adjustment Coordinator,,High Net Worth,No
Killian,Nettles,Male,44,01-09-1980,Marketing Assistant,,Affluent Customer,No
Fredia,Favelle,Female,94,29-08-1974,Teacher,,Mass Customer,Yes
Katleen,Arnoult,Female,6,24-11-1976,VP Product Management,Manufacturing,Mass Customer,Yes
Gaultiero,Fibbens,Male,41,14-03-1980,Help Desk Technician,,Affluent Customer,No
Inglebert,Aspinal,Male,4,13-10-1973,Financial Analyst,Financial Services,Mass Customer,No
Jammal,Devenny,Male,57,14-05-1999,Marketing Manager,Retail,High Net Worth,No
Adriane,Richardson,Female,81,10-03-1976,Data Coordiator,Manufacturing,High Net Worth,No
Jodi,Lermit,Female,94,30-01-1954,,Health,Mass Customer,Yes
Emelia,Ackwood,Female,72,30-09-1988,Senior Cost Accountant,Financial Services,Mass Customer,Yes
Andee,Huke,Female,91,28-06-1971,,Manufacturing,Mass Customer,No
Isa,Fominov,Male,75,21-06-2001,Physical Therapy Assistant,,Mass Customer,Yes
Zabrina,Margram,Female,87,15-05-1964,,Manufacturing,High Net Worth,Yes
Maddalena,Angood,Female,79,28-07-1999,,Manufacturing,Affluent Customer,No
Sofie,Worsfold,Female,87,06-10-1954,Environmental Tech,Retail,Mass Customer,Yes
Elmira,Vasilyev,Female,33,14-10-1951,Senior Quality Engineer,Manufacturing,High Net Worth,No
Free,Rowland,Male,42,17-05-1956,,,Mass Customer,Yes
Worthington,Cohane,Male,60,23-01-1991,Chief Design Engineer,Entertainment,High Net Worth,No
Bailey,Bereford,Male,44,30-09-1950,Senior Sales Associate,Argiculture,Affluent Customer,Yes
Perry,Whitehurst,Male,79,29-05-1980,Structural Engineer,Manufacturing,High Net Worth,Yes
Antony,Tuma,Male,11,10-03-1954,Environmental Tech,Telecommunications,High Net Worth,Yes
Corene,Hallgate,Female,26,06-11-1964,,Financial Services,Mass Customer,Yes
Nico,Chadwick,Male,97,24-05-1953,Research Assistant IV,Financial Services,Affluent Customer,No
Joline,Skipperbottom,Female,59,27-06-1972,Desktop Support Technician,,High Net Worth,No
Ivy,Farr,Female,56,03-07-1973,Office Assistant IV,IT,High Net Worth,No
Dallas,Lavalde,Female,18,19-12-1998,Product Engineer,,Mass Customer,No
Amabel,,Female,71,14-09-1981,Chief Design Engineer,Financial Services,Mass Customer,Yes
Hilario,McCulloch,Male,61,10-01-1986,Physical Therapy Assistant,Retail,Mass Customer,No
Jim,Haddrell,Male,55,08-04-1955,Associate Professor,Financial Services,Mass Customer,No
Jacobo,Mucklow,Male,62,04-12-1952,Computer Systems Analyst I,Financial Services,High Net Worth,Yes
Gretel,Paschke,Female,10,29-05-1956,Editor,Financial Services,Mass Customer,Yes
Jethro,Mertel,Male,16,10-12-1978,Software Consultant,Argiculture,Mass Customer,Yes
Dwain,Hatch,Male,62,16-11-1994,Marketing Assistant,Health,Affluent Customer,No
Lucretia,D'Agostini,Female,41,14-12-1978,Database Administrator III,Manufacturing,High Net Worth,No
Claude,Bowstead,Female,37,29-11-1997,Accounting Assistant III,Manufacturing,Mass Customer,No
Donn,MacGregor,Male,80,22-04-1965,Civil Engineer,Manufacturing,High Net Worth,No
Laurel,Devennie,Female,78,25-09-1976,VP Product Management,Manufacturing,Affluent Customer,No
Elvira,Darthe,Female,10,08-04-1975,Accounting Assistant I,Financial Services,Affluent Customer,No
Angie,Tansley,Male,68,30-11-1950,VP Sales,Manufacturing,Mass Customer,No
Terrence,Dalligan,Male,60,19-02-1998,Chemical Engineer,Manufacturing,High Net Worth,Yes
Katy,Crooke,Female,0,30-06-1977,Food Chemist,Health,Mass Customer,No
Sammy,Borsi,Female,99,27-04-1972,Accountant III,Financial Services,Mass Customer,No
Morganica,Ainsbury,Female,37,06-01-1973,Senior Editor,Entertainment,High Net Worth,Yes
Nils,Champion,Male,69,06-07-1984,Programmer III,Retail,Affluent Customer,No
Beverlee,Querree,Female,42,21-04-1991,Marketing Manager,Financial Services,High Net Worth,Yes
Cami,Eitter,Female,34,03-01-1979,Professor,Manufacturing,High Net Worth,Yes
Reiko,Degenhardt,Female,83,16-01-1976,Financial Analyst,Financial Services,High Net Worth,Yes
Cord,Dunsmore,Male,12,21-04-1999,Internal Auditor,Manufacturing,Mass Customer,Yes
Gabey,Kennicott,Female,55,14-05-1958,Developer I,Financial Services,Affluent Customer,No
Jacqui,Devey,Female,79,01-10-1995,Analyst Programmer,Financial Services,High Net Worth,Yes
Byrom,Ramas,Male,23,02-11-1993,Help Desk Technician,Manufacturing,High Net Worth,No
Worthington,Ahmed,Male,79,24-03-1972,Senior Cost Accountant,Financial Services,High Net Worth,No
Chico,Dye,Male,46,04-02-1994,Speech Pathologist,Manufacturing,High Net Worth,No
Davidde,Cockroft,Male,70,21-04-1947,Geological Engineer,Manufacturing,High Net Worth,No
Charlie,Dmych,Male,60,31-03-1950,Account Coordinator,Manufacturing,High Net Worth,No
Donn,Chaney,Male,15,29-01-1951,Research Assistant II,,Mass Customer,No
Kamila,Parsonage,Female,80,08-03-1954,,Property,Mass Customer,No
Barth,Sapshed,Male,4,16-06-1994,Executive Secretary,Financial Services,Mass Customer,Yes
Padriac,Collacombe,Male,67,07-04-1967,Software Consultant,Health,Affluent Customer,No
Olive,Mozzi,Female,87,06-07-1955,Account Representative IV,Retail,Affluent Customer,Yes
Benedict,Rosas,Male,73,25-11-1955,Actuary,Financial Services,High Net Worth,Yes
Virginia,De Antoni,Female,17,14-03-1964,Executive Secretary,Telecommunications,High Net Worth,Yes
Nicolas,O'Donnell,Male,40,25-09-1986,Internal Auditor,,Mass Customer,Yes
Oswald,MacCarlich,Male,81,24-11-1991,Assistant Media Planner,Entertainment,Mass Customer,No
Ailyn,Howgate,Female,66,27-09-2001,Electrical Engineer,Manufacturing,Mass Customer,Yes
Karol,Salthouse,Female,53,29-07-1968,Research Assistant III,Financial Services,Mass Customer,Yes
Esdras,Birchett,Male,81,09-12-1950,Assistant Media Planner,Entertainment,Mass Customer,Yes
Wilfrid,Gertray,Male,1,23-08-1942,Accounting Assistant I,Financial Services,Mass Customer,No
Charmain,Styles,Female,49,25-02-1965,Programmer Analyst I,Property,High Net Worth,Yes
Harlene,Nono,U,69,,Human Resources Manager,IT,Mass Customer,No
Kirsteni,Gritskov,Female,66,12-05-1998,,,Mass Customer,No
Bobby,Summersby,Male,90,27-10-1943,Sales Associate,Financial Services,Affluent Customer,No
Shepherd,Dutchburn,Male,33,12-08-1976,Senior Sales Associate,Financial Services,High Net Worth,Yes
Berenice,Kaesmakers,Female,64,15-10-1994,Sales Representative,Retail,Mass Customer,No
Jesse,Crosio,Male,75,15-04-1994,Data Coordiator,,Mass Customer,Yes
Cordi,Thornton,Female,47,04-01-1973,Structural Engineer,Telecommunications,Mass Customer,No
Debbie,Tillman,Female,3,06-07-1990,Account Coordinator,Manufacturing,High Net Worth,Yes
Judie,Pirkis,Female,2,18-07-1995,Recruiter,,Affluent Customer,Yes
Flin,Yoskowitz,Male,9,17-12-1995,Registered Nurse,Health,Mass Customer,Yes
Noel,Sturch,Female,26,28-10-1951,Environmental Specialist,Health,Mass Customer,No
Letizia,Poore,Female,27,30-08-1938,Web Developer II,Manufacturing,Affluent Customer,No
Raynard,,Male,32,13-04-1996,Statistician III,Health,Affluent Customer,No
Kiley,Grunder,Male,95,17-04-1994,Cost Accountant,Financial Services,Affluent Customer,Yes
Ethelred,Sissel,Male,83,25-12-1974,Programmer Analyst IV,Health,High Net Worth,No
Dena,Pabst,Female,39,20-04-1987,Account Executive,Manufacturing,High Net Worth,Yes
Wyndham,Woolford,Male,1,22-10-1979,Engineer IV,Manufacturing,Mass Customer,No
Rochette,Haddacks,Female,44,10-05-1996,Tax Accountant,Retail,Affluent Customer,Yes
Jamal,Dudgeon,Male,83,09-02-1965,Mechanical Systems Engineer,Financial Services,Mass Customer,No
Levin,Coxen,Male,13,22-10-1955,Accountant I,Property,Mass Customer,No
Marinna,Kauschke,Female,21,15-03-1973,Sales Associate,Financial Services,Affluent Customer,Yes
Kyle,Michie,Female,6,19-07-1958,Nurse Practicioner,,Mass Customer,Yes
Lanie,Cobbold,Male,57,31-12-1978,Senior Sales Associate,,Mass Customer,Yes
Gilbert,O'Fallone,Male,29,07-11-1994,Assistant Media Planner,Entertainment,High Net Worth,No
Gerianne,Kaysor,U,15,,Project Manager,IT,Affluent Customer,No
Esther,McOnie,Female,59,26-05-1939,Legal Assistant,,Mass Customer,No
Chaim,Kingdon,Male,63,21-01-1996,Compensation Analyst,Financial Services,Affluent Customer,Yes
Anson,Dearnaly,Male,68,29-06-1997,Data Coordiator,Health,Affluent Customer,Yes
Caitrin,Critten,Female,45,29-01-1973,Director of Sales,Manufacturing,Mass Customer,Yes
Garreth,Minett,Male,93,23-05-1961,Physical Therapy Assistant,,Affluent Customer,Yes
Rozamond,Sommer,Female,27,19-09-1966,Operator,IT,Affluent Customer,Yes
Annabell,Downer,Female,33,25-11-1955,Budget/Accounting Analyst II,,Affluent Customer,No
Maximilian,Geffen,Male,96,13-07-1955,Automation Specialist III,Manufacturing,Mass Customer,Yes
Ajay,Worham,Female,80,30-09-1979,Computer Systems Analyst I,Manufacturing,Mass Customer,Yes
Jamison,Cashin,Male,70,19-05-1970,VP Product Management,Health,Mass Customer,Yes
Dorian,Emery,Female,94,24-08-1998,Professor,Manufacturing,Mass Customer,Yes
Nicol,Swinford,Male,65,07-12-1976,VP Marketing,Property,High Net Worth,No
Agna,Cowpe,Female,88,05-03-1969,,Property,Mass Customer,Yes
Nev,Prosh,Male,29,08-05-1950,Environmental Tech,Health,Affluent Customer,Yes
Lucius,Hatchell,Male,37,19-03-1951,Media Manager II,Retail,Mass Customer,Yes
Francisca,Pottage,Female,63,10-06-1957,Software Engineer II,IT,Mass Customer,No
Farlie,Brookz,Male,62,31-07-1963,Administrative Assistant I,Health,Mass Customer,Yes
Mariette,,Female,47,05-07-1956,Programmer II,Property,Affluent Customer,Yes
Beverlee,Ungerechts,Female,49,03-10-1973,Civil Engineer,Manufacturing,Mass Customer,No
Nanni,Girodias,Female,61,08-01-1959,,Retail,High Net Worth,No
Delcina,Hursey,Female,22,26-12-1968,,Financial Services,Mass Customer,Yes
Lek,Pimblett,Male,88,29-09-1955,Product Engineer,Financial Services,Mass Customer,Yes
Kellyann,Adshad,Female,62,07-06-1940,,,Mass Customer,Yes
Ewell,Paulusch,Male,31,15-01-1998,Engineer I,Manufacturing,Mass Customer,Yes
Madison,Lars,Male,11,19-01-1967,Health Coach III,Health,Mass Customer,No
Ardis,Taree,Female,97,12-04-1960,Chemical Engineer,Manufacturing,Affluent Customer,Yes
Wheeler,Godsil,Male,51,20-09-1993,Geologist IV,Manufacturing,Affluent Customer,Yes
Marissa,O'Scandall,Female,17,13-07-1973,,,Affluent Customer,Yes
Terrel,Keynd,Male,30,20-04-1961,Junior Executive,Manufacturing,Mass Customer,No
Augie,Swallwell,Male,42,22-08-1939,,Property,Affluent Customer,Yes
Dillon,Bannister,Male,7,24-12-1945,Tax Accountant,,Mass Customer,No
